City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
397,Epitalion,GR,79.65,overcast clouds,37.6333,21.5,The sea at your feet
398,Jojoima,SL,80.89,light rain,7.8792,-10.7878,
404,Fort-Shevchenko,KZ,71.1,clear sky,44.5086,50.263,Oasis hotel Bautino
405,Mormugao,IN,77.68,light rain,15.4,73.8,Coconut Creek Resort
406,Sile,TR,84.87,clear sky,41.1754,29.6133,Phellos Suites
409,Acapulco,MX,80.83,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
419,Bosaso,SO,87.3,few clouds,11.2842,49.1816,Red Sea Hotel
421,Presidencia Roque Saenz Pena,AR,78.8,clear sky,-26.7852,-60.4388,Hotel Gualok
424,Saint George,US,74.79,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
427,Arrecife,ES,80.58,scattered clouds,28.963,-13.5477,Hotel Lancelot
428,Grand Gaube,MU,70.38,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
429,Mersing,MY,79.52,broken clouds,2.4312,103.8405,Timotel Hotel
430,Poum,NC,74.41,broken clouds,-20.2333,164.0167,
431,Nabire,ID,74.91,moderate rain,-3.3667,135.4833,Hotel Nusantara I
435,Kiunga,PG,74.1,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
440,Makakilo City,US,74.01,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
442,Sorong,ID,80.02,broken clouds,-0.8833,131.25,Waigo Splash Hotel
444,Bogale,MM,76.71,overcast clouds,16.2833,95.4,Ngwe Taung
446,Ampanihy,MG,79.18,clear sky,-24.7,44.75,HOTEL SHARRON AMPANIHY OUEST
447,Graaff-Reinet,ZA,81.55,overcast clouds,-32.2522,24.5308,Rietjiesbos Self Catering
448,Bacolod,PH,78.12,overcast clouds,10.6667,122.95,Planta Hotel & Residences
450,Takoradi,GH,79.79,light rain,4.8845,-1.7554,Raybow International Hotel
451,Pemba,MZ,76.6,clear sky,-12.974,40.5178,Guesthouse Samotina
452,Gizo,SB,81.72,clear sky,-8.103,156.8419,Imagination Island
454,Merauke,ID,78.37,broken clouds,-8.4667,140.3333,
