City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
111,Pauini,BR,-7.7136,-66.9764,89.6,45,73,4.92,light rain
112,Aguimes,ES,27.9054,-15.4461,75.83,61,75,21.85,broken clouds
113,Mount Gambier,AU,-37.8333,140.7667,48.33,86,12,7.38,few clouds
114,Puerto Del Rosario,ES,28.5004,-13.8627,82.15,51,75,23.02,broken clouds
115,Avarua,CK,-21.2078,-159.775,71.65,73,0,9.22,clear sky
116,Impfondo,CG,1.6381,18.0667,80.55,71,99,2.08,overcast clouds
117,Lulea,SE,65.5842,22.1547,41.07,81,100,1.14,overcast clouds
118,Butaritari,KI,3.0707,172.7902,81.23,77,100,15.79,light rain
119,Ilulissat,GL,69.2167,-51.1,32.43,71,100,2.15,overcast clouds
120,Yellowknife,CA,62.456,-114.3525,46.92,87,20,19.57,few clouds
121,Grandola,PT,38.1772,-8.5668,65.35,34,32,8.1,scattered clouds
122,Saint-Denis,FR,48.9167,2.3333,65.05,51,0,16.11,clear sky
123,Saint-Joseph,RE,-21.3667,55.6167,70.18,77,22,11.77,few clouds
124,Tuy Hoa,VN,13.0833,109.3,77.74,90,100,3.83,overcast clouds
125,Nautla,MX,20.2167,-96.7833,75.96,70,9,11.5,clear sky
126,Axim,GH,4.8699,-2.2405,80.24,74,37,10.36,scattered clouds
127,Flin Flon,CA,54.7682,-101.865,42.64,81,75,8.05,broken clouds
128,Bereznik,RU,62.8551,42.7072,44.69,98,100,7.2,light rain
129,Fernie,CA,49.5,-115.0687,53.69,95,65,0.34,broken clouds
130,Kenitra,MA,34.261,-6.5802,72.36,55,0,13.53,clear sky
131,Gwanda,ZW,-20.9333,29.0,86.63,17,0,11.61,clear sky
132,Salalah,OM,17.0151,54.0924,79.66,79,100,6.78,overcast clouds
133,Netanya,IL,32.3329,34.8599,89.04,68,0,13.96,clear sky
134,Selkirk,CA,50.1436,-96.8845,54.16,51,84,7.18,broken clouds
135,Khislavichi,RU,54.1871,32.1582,54.57,88,100,3.58,overcast clouds
136,San Patricio,US,28.017,-97.5169,78.89,55,0,4.72,clear sky
137,Ulladulla,AU,-35.35,150.4667,52.7,80,100,10.78,light rain
138,Papar,MY,5.7333,115.9333,80.6,84,87,4.18,overcast clouds
139,Ribeira Brava,PT,32.65,-17.0667,75.7,81,80,1.66,broken clouds
140,Lagoa,PT,39.05,-27.9833,68.45,66,6,6.04,clear sky
141,Thinadhoo,MV,0.5333,72.9333,81.75,76,90,12.3,overcast clouds
142,Tasiilaq,GL,65.6145,-37.6368,37.0,76,100,7.2,overcast clouds
143,Tara,RU,56.8944,74.371,29.86,69,21,5.75,few clouds
144,Dubbo,AU,-32.25,148.6167,48.33,87,82,6.91,broken clouds
145,Arraial Do Cabo,BR,-22.9661,-42.0278,71.56,68,75,12.66,broken clouds
146,Poltavka,RU,54.3663,71.7632,30.06,75,19,6.46,few clouds
147,Palmer,US,42.1584,-72.3287,58.33,71,100,1.99,overcast clouds
148,Ichinohe,JP,40.2069,141.3017,58.51,96,0,5.37,clear sky
149,Khani,GE,41.9563,42.9566,69.37,61,1,3.49,clear sky
150,Pietersburg,ZA,-23.9045,29.4688,85.05,17,0,9.22,clear sky
151,Esperance,AU,-33.8667,121.9,51.87,84,2,12.82,clear sky
152,Qaanaaq,GL,77.484,-69.3632,20.21,67,94,12.71,overcast clouds
153,Piat,PH,17.7905,121.478,75.38,92,14,0.36,light rain
154,Mayo,US,38.8876,-76.5119,60.98,80,100,5.01,overcast clouds
155,Shetpe,KZ,44.1667,52.1167,75.54,23,0,6.51,clear sky
156,Port Alfred,ZA,-33.5906,26.891,70.18,86,100,3.0,overcast clouds
157,Saint-Nazaire,FR,47.2833,-2.2,63.34,74,75,16.11,broken clouds
158,Dicabisagan,PH,17.0818,122.4157,77.77,85,3,2.15,clear sky
159,Ternate,ID,0.8,127.4,81.57,75,42,2.24,scattered clouds
160,Leningradskiy,RU,69.3833,178.4167,21.81,75,100,8.61,overcast clouds
161,Amazar,RU,53.858,120.875,31.12,92,49,1.34,scattered clouds
162,Klaksvik,FO,62.2266,-6.589,52.72,95,100,28.7,overcast clouds
163,Cabedelo,BR,-6.9811,-34.8339,84.87,65,98,14.58,overcast clouds
164,Frederick,US,39.4668,-77.3997,58.39,81,0,11.5,clear sky
165,Namatanai,PG,-3.6667,152.4333,79.45,77,39,5.19,scattered clouds
166,Tateyama,JP,34.9833,139.8667,74.1,85,12,13.47,few clouds
167,Wenatchee,US,47.4235,-120.3103,60.39,70,0,6.91,clear sky
168,Portland,US,45.5234,-122.6762,58.93,91,100,6.91,overcast clouds
169,Upernavik,GL,72.7868,-56.1549,21.69,74,70,4.72,broken clouds
170,Yondo,CO,7.0062,-73.9097,79.29,94,75,3.44,broken clouds
171,Roma,US,43.2128,-75.4557,55.09,90,100,2.21,overcast clouds
172,Kuito,AO,-12.3833,16.9333,80.74,74,0,0.0,clear sky
173,Hambantota,LK,6.1241,81.1185,77.34,100,40,11.5,light rain
174,Paramonga,PE,-10.6667,-77.8333,64.9,74,99,8.01,overcast clouds
175,Liling,CN,27.6667,113.5,84.81,49,85,3.51,overcast clouds
176,Mutsu,JP,41.2894,141.2169,64.85,88,0,2.66,clear sky
177,Uromi,NG,6.7,6.3333,76.66,88,98,4.07,moderate rain
178,Sao Sebastiao,BR,-23.76,-45.4097,66.07,92,100,6.13,overcast clouds
179,Naugachhia,IN,25.4,87.1,86.97,62,91,4.59,overcast clouds
180,Talakan,RU,50.3167,130.3667,38.89,86,99,5.68,overcast clouds
181,Beringovskiy,RU,63.05,179.3167,39.2,76,100,22.48,overcast clouds
182,Narsaq,GL,60.9167,-46.05,38.57,69,99,3.0,overcast clouds
183,Ancud,CL,-41.8697,-73.8203,52.68,86,66,3.53,broken clouds
184,Rognan,NO,67.0953,15.3878,51.06,61,15,5.08,few clouds
185,Maraa,BR,-1.8333,-65.3667,92.89,40,76,4.29,broken clouds
186,Virginia Beach,US,36.8529,-75.978,67.01,95,100,18.41,heavy intensity rain
187,Khatanga,RU,71.9667,102.5,29.1,96,100,12.71,light snow
188,Jalna,IN,19.8333,75.8833,76.64,75,16,9.13,few clouds
189,Qaqortoq,GL,60.7167,-46.0333,38.91,69,98,6.69,overcast clouds
190,Kroya,ID,-7.6331,109.2461,77.56,89,100,6.96,overcast clouds
191,Neman,RU,55.0311,22.0264,55.96,62,99,0.76,overcast clouds
192,Ucluelet,CA,48.9329,-125.5528,57.09,93,78,3.78,broken clouds
193,Agadir,MA,30.4202,-9.5982,82.85,36,0,11.23,clear sky
194,Suoyarvi,RU,62.0833,32.35,44.01,98,100,2.08,overcast clouds
195,Oussouye,SN,12.485,-16.5469,86.18,75,100,7.54,moderate rain
196,Codrington,AU,-38.2667,141.9667,47.03,89,79,8.3,broken clouds
197,Cockburn Town,TC,21.4612,-71.1419,82.26,70,67,10.85,broken clouds
198,Bac Lieu,VN,9.285,105.7244,79.56,84,88,7.94,overcast clouds
199,Mastic Beach,US,40.7668,-72.8521,62.06,78,100,8.99,overcast clouds
200,Tselinnoye,RU,53.0833,85.6667,31.55,97,100,9.86,light snow
201,Yuncheng,CN,35.0231,110.9928,68.88,82,78,6.8,broken clouds
202,Gao,ML,16.6362,1.637,101.41,22,14,9.19,few clouds
203,Eyl,SO,7.9803,49.8164,78.57,75,3,23.24,clear sky
204,Hamilton,US,39.1834,-84.5333,60.06,74,0,1.99,clear sky
205,Pineville,US,31.3224,-92.4343,62.87,72,0,3.0,clear sky
206,Mutis,CO,6.2262,-77.4044,80.02,81,100,8.01,light rain
207,Lavrentiya,RU,65.5833,-171.0,33.08,73,26,6.55,scattered clouds
208,Peterhead,GB,57.5058,-1.7981,55.51,90,100,35.86,light rain
209,Najran,SA,17.4924,44.1277,90.25,11,26,14.36,scattered clouds
210,Sydney,AU,-33.8679,151.2073,58.71,75,40,14.97,scattered clouds
211,Avera,US,33.194,-82.5271,64.38,60,99,19.1,overcast clouds
212,Waddan,LY,29.1614,16.139,105.28,9,1,16.37,clear sky
213,Banda Aceh,ID,5.5577,95.3222,78.87,84,100,13.31,overcast clouds
214,Iquitos,PE,-3.7481,-73.2472,80.64,83,75,8.05,broken clouds
215,Benghazi,LY,32.1167,20.0667,88.11,52,37,7.58,scattered clouds
216,Talnakh,RU,69.4865,88.3972,31.21,97,100,6.4,overcast clouds
217,Treinta Y Tres,UY,-33.2333,-54.3833,63.32,62,80,12.06,light rain
218,Bashtanka,UA,47.4072,32.4387,73.63,49,36,10.2,scattered clouds
219,Manitouwadge,CA,49.1215,-85.8403,55.71,65,37,8.72,scattered clouds
220,Torbay,CA,47.6666,-52.7314,57.58,76,75,14.97,broken clouds
221,Shigony,RU,53.3875,48.6777,54.86,82,100,4.16,overcast clouds
222,Chuy,UY,-33.6971,-53.4616,64.44,55,89,10.2,overcast clouds
223,Shawville,CA,45.6001,-76.4827,52.77,46,0,2.59,clear sky
224,Kibre Mengist,ET,5.8833,38.9833,62.89,81,75,1.34,light rain
